timestamp,value,producedElements
1603710346204,10.000000,5000
1603710346707,0.000000,5101
1603710371203,10.000000,10000
1603710371707,0.000000,10101
1603710396202,10.000000,15000
1603710396708,0.000000,15101
1603710421202,10.000000,20000
1603710421707,0.000000,20101
1603710446202,10.000000,25000
1603710446708,0.000000,25101
1603710471202,10.000000,30000
1603710471707,0.000000,30101
1603710496202,10.000000,35000
1603710496707,0.000000,35101
1603710521202,10.000000,40000
1603710521707,0.000000,40101
1603710546202,10.000000,45000
1603710546707,0.000000,45101
1603710571202,10.000000,50000
1603710571707,0.000000,50101
1603710596202,10.000000,55000
1603710596707,0.000000,55101
1603710621202,10.000000,60000
1603710621707,0.000000,60101
1603710646202,10.000000,65000
1603710646707,0.000000,65101
1603710671202,10.000000,70000
1603710671707,0.000000,70101
1603710696202,10.000000,75000
1603710696708,0.000000,75101
1603710721202,10.000000,80000
1603710721707,0.000000,80101
1603710746203,10.000000,85000
1603710746707,0.000000,85101
1603710771202,10.000000,90000
1603710771707,0.000000,90101
1603710796202,10.000000,95000
1603710796707,0.000000,95101
1603710821202,10.000000,100000
1603710821707,0.000000,100101
1603710846202,10.000000,105000
1603710846707,0.000000,105101
1603710871202,10.000000,110000
1603710871707,0.000000,110101
1603710896202,10.000000,115000
1603710896707,0.000000,115101
1603710921202,10.000000,120000
1603710921707,0.000000,120101
1603710946202,10.000000,125000
1603710946707,0.000000,125101
1603710971202,10.000000,130000
1603710971707,0.000000,130101
1603710996203,10.000000,135000
1603710996708,0.000000,135101
1603711021203,10.000000,140000
1603711021707,0.000000,140101
1603711046202,10.000000,145000
1603711046707,0.000000,145101
1603711071202,10.000000,150000
1603711071707,0.000000,150101
1603711096202,10.000000,155000
1603711096707,0.000000,155101
1603711121203,10.000000,160000
1603711121707,0.000000,160101
1603711146203,10.000000,165000
1603711146707,0.000000,165101
1603711171202,10.000000,170000
1603711171707,0.000000,170101
1603711196202,10.000000,175000
1603711196707,0.000000,175101
1603711221202,10.000000,180000
1603711221707,0.000000,180101
1603711246202,10.000000,185000
1603711246707,0.000000,185101
1603711271203,10.000000,190000
1603711271707,0.000000,190101
1603711296202,10.000000,195000
1603711296707,0.000000,195101
1603711321202,10.000000,200000
1603711321707,0.000000,200101
1603711346202,10.000000,205000
1603711346707,0.000000,205101
1603711371203,10.000000,210000
1603711371708,0.000000,210101
1603711396202,10.000000,215000
1603711396707,0.000000,215101
1603711421202,10.000000,220000
1603711421707,0.000000,220101
1603711446202,10.000000,225000
1603711446707,0.000000,225101
1603711471202,10.000000,230000
1603711471707,0.000000,230101
1603711496202,10.000000,235000
1603711496707,0.000000,235101
1603711521202,10.000000,240000
