timestamp,value,producedElements
1603769519728,10.000000,5000
1603769520226,0.000000,5101
1603769544722,10.000000,10000
1603769545226,0.000000,10101
1603769569726,10.000000,15000
1603769570227,0.000000,15101
1603769594722,10.000000,20000
1603769595226,0.000000,20101
1603769619721,10.000000,25000
1603769620227,0.000000,25101
1603769644725,10.000000,30000
1603769645226,0.000000,30101
1603769669722,10.000000,35000
1603769670226,0.000000,35101
1603769694722,10.000000,40000
1603769695226,0.000000,40101
1603769719721,10.000000,45000
1603769720226,0.000000,45101
1603769744721,10.000000,50000
1603769745229,0.000000,50101
1603769769721,10.000000,55000
1603769770227,0.000000,55101
1603769794721,10.000000,60000
1603769795226,0.000000,60101
1603769819726,10.000000,65000
1603769820226,0.000000,65101
1603769844721,10.000000,70000
1603769845226,0.000000,70101
1603769869721,10.000000,75000
1603769870226,0.000000,75101
1603769894721,10.000000,80000
1603769895226,0.000000,80101
1603769919722,10.000000,85000
1603769920229,0.000000,85101
1603769944721,10.000000,90000
1603769945226,0.000000,90101
1603769969722,10.000000,95000
1603769970231,0.000000,95101
1603769994721,10.000000,100000
1603769995226,0.000000,100101
1603770019728,10.000000,105000
1603770020227,0.000000,105101
1603770044721,10.000000,110000
1603770045226,0.000000,110101
1603770069721,10.000000,115000
1603770070227,0.000000,115101
1603770094722,10.000000,120000
1603770095226,0.000000,120101
1603770119721,10.000000,125000
1603770120226,0.000000,125101
1603770144721,10.000000,130000
1603770145226,0.000000,130101
1603770169721,10.000000,135000
1603770170226,0.000000,135101
1603770194721,10.000000,140000
1603770195226,0.000000,140101
1603770219721,10.000000,145000
1603770220226,0.000000,145101
1603770244721,10.000000,150000
1603770245226,0.000000,150101
1603770269722,10.000000,155000
1603770270226,0.000000,155101
1603770294726,10.000000,160000
1603770295226,0.000000,160101
1603770319721,10.000000,165000
1603770320226,0.000000,165101
1603770344721,10.000000,170000
1603770345226,0.000000,170101
1603770369721,10.000000,175000
1603770370227,0.000000,175101
1603770394721,10.000000,180000
1603770395227,0.000000,180101
1603770419721,10.000000,185000
1603770420227,0.000000,185101
1603770444721,10.000000,190000
1603770445227,0.000000,190101
1603770469721,10.000000,195000
1603770470226,0.000000,195101
1603770494721,10.000000,200000
1603770495226,0.000000,200101
1603770519722,10.000000,205000
1603770520226,0.000000,205101
1603770544721,10.000000,210000
1603770545226,0.000000,210101
1603770569721,10.000000,215000
1603770570226,0.000000,215101
1603770594721,10.000000,220000
1603770595226,0.000000,220101
1603770619721,10.000000,225000
1603770620226,0.000000,225101
1603770644721,10.000000,230000
1603770645226,0.000000,230101
1603770669721,10.000000,235000
1603770670226,0.000000,235101
1603770694721,10.000000,240000
