timestamp,value,producedElements
1603754295887,10.000000,5000
1603754296392,0.000000,5101
1603754320888,10.000000,10000
1603754321393,0.000000,10101
1603754345888,10.000000,15000
1603754346392,0.000000,15101
1603754370887,10.000000,20000
1603754371393,0.000000,20101
1603754395887,10.000000,25000
1603754396392,0.000000,25101
1603754420888,10.000000,30000
1603754421392,0.000000,30101
1603754445887,10.000000,35000
1603754446392,0.000000,35101
1603754470887,10.000000,40000
1603754471392,0.000000,40101
1603754495887,10.000000,45000
1603754496392,0.000000,45101
1603754520887,10.000000,50000
1603754521392,0.000000,50101
1603754545887,10.000000,55000
1603754546392,0.000000,55101
1603754570887,10.000000,60000
1603754571392,0.000000,60101
1603754595887,10.000000,65000
1603754596392,0.000000,65101
1603754620887,10.000000,70000
1603754621393,0.000000,70101
1603754645890,10.000000,75000
1603754646393,0.000000,75101
1603754670888,10.000000,80000
1603754671392,0.000000,80101
1603754695887,10.000000,85000
1603754696392,0.000000,85101
1603754720887,10.000000,90000
1603754721392,0.000000,90101
1603754745887,10.000000,95000
1603754746393,0.000000,95101
1603754770887,10.000000,100000
1603754771393,0.000000,100101
1603754795889,10.000000,105000
1603754796392,0.000000,105101
1603754820887,10.000000,110000
1603754821393,0.000000,110101
1603754845887,10.000000,115000
1603754846392,0.000000,115101
1603754870887,10.000000,120000
1603754871392,0.000000,120101
1603754895888,10.000000,125000
1603754896392,0.000000,125101
1603754920887,10.000000,130000
1603754921392,0.000000,130101
1603754945888,10.000000,135000
1603754946392,0.000000,135101
1603754970887,10.000000,140000
1603754971392,0.000000,140101
1603754995888,10.000000,145000
1603754996392,0.000000,145101
1603755020887,10.000000,150000
1603755021392,0.000000,150101
1603755045887,10.000000,155000
1603755046392,0.000000,155101
1603755070887,10.000000,160000
1603755071392,0.000000,160101
1603755095887,10.000000,165000
1603755096392,0.000000,165101
1603755120890,10.000000,170000
1603755121392,0.000000,170101
1603755145887,10.000000,175000
1603755146392,0.000000,175101
1603755170888,10.000000,180000
1603755171392,0.000000,180101
1603755195887,10.000000,185000
1603755196392,0.000000,185101
1603755220887,10.000000,190000
1603755221392,0.000000,190101
1603755245888,10.000000,195000
1603755246392,0.000000,195101
1603755270887,10.000000,200000
1603755271392,0.000000,200101
1603755295888,10.000000,205000
1603755296392,0.000000,205101
1603755320887,10.000000,210000
1603755321392,0.000000,210101
1603755345889,10.000000,215000
1603755346392,0.000000,215101
1603755370888,10.000000,220000
1603755371392,0.000000,220101
1603755395887,10.000000,225000
1603755396392,0.000000,225101
1603755420888,10.000000,230000
1603755421392,0.000000,230101
1603755445887,10.000000,235000
1603755446392,0.000000,235101
1603755470888,10.000000,240000
