name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t2;4.9974054402417885;0.0;33.296324701271416;0;1047;0.0;0.0;433.0;433.0
run_0_t4;5.001400801569787;0.0;33.787522853789234;0;766;0.0;14.0;421.1040000000212;421.1040000000212
run_0_t5;5.000361317865223;0.0;33.08500151638236;0;934;0.0;13.0;438.1040000000212;438.1040000000212
run_0_t1;4.9996331233983895;0.0;33.22202108979751;0;1153;0.0;0.0;427.1040000000212;427.1040000000212
run_0_t3;4.999816561699195;0.0;33.03809796898117;0;847;0.0;0.0;423.1040000000212;423.1040000000212
run_0_t7;4.999071691023197;0.0;34.01339463926149;0;842;0.0;0.0;442.0;442.0
run_0_t6;5.001400801569787;0.0;34.61259379882919;0;1337;0.0;0.0;448.0;448.0
run_1_t7;4.997726577916122;0.0;34.59101434429823;0;1548;0.0;0.0;456.0;456.0
run_1_t2;4.989699699366562;0.0;33.63728192761346;0;1787;0.0;17.0;424.7150000000256;424.7150000000256
run_1_t1;4.9988775595254635;0.0;35.04984442658995;0;1867;0.0;0.0;453.0;453.0
run_1_t5;4.999972215121642;0.0;32.98606108732897;0;1975;0.0;17.0;422.0;422.0
run_1_t6;4.997722019735088;0.0;34.17874632422521;0;1781;0.0;0.0;455.0;455.0
run_1_t3;5.0005447531378895;0.0;31.74144669822625;0;2649;0.0;16.0;385.1030000000319;385.1030000000319
run_1_t4;4.9985384666681485;0.0;33.43146796842127;0;1666;0.0;0.0;423.05300000001444;423.05300000001444
run_2_t7;4.999610888452837;0.0;35.1477666921003;0;943;0.0;0.0;462.0;462.0
run_2_t5;4.999605329716449;0.0;32.72449311162206;0;930;0.0;0.0;420.0;420.0
run_2_t6;5.000856026370059;0.0;35.373656246817546;0;5048;0.0;13.0;445.1000000000058;445.1000000000058
run_2_t3;4.99997220631806;0.0;33.525735423057526;0;955;0.0;0.0;445.0;445.0
run_2_t2;5.000355757151275;0.0;34.76812108224027;0;957;0.0;0.0;457.0;457.0
run_2_t1;4.999132837123465;0.0;32.85974584360221;0;1057;0.0;18.0;425.0;425.0
run_2_t4;5.004729669645636;0.0;34.827549118145974;0;1446;0.0;0.0;456.0;456.0
