name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t3;4.995561431674379;0.0;32.53604067733755;0;1815;0.0;19.0;452.9880000000121;452.9880000000121
run_0_t4;4.998777111983191;0.0;27.807825107173755;0;1091;12.0;20.0;262.0;262.0
run_0_t2;4.999827688750298;0.0;31.118561889240233;0;973;0.0;24.0;307.0;307.0
run_0_t5;5.001150607264945;0.0;32.77455678666488;0;1410;0.0;15.0;438.09600000001956;438.09600000001956
run_0_t1;5.000527912688798;0.0;34.69011975513786;0;8099;9.0;17.0;261.0470000000205;261.0470000000205
run_0_t7;4.995895014581309;0.0;34.37698774327726;0;1707;0.0;0.0;466.0;466.0
run_0_t6;4.998588520335866;0.0;35.16975551138542;0;2171;0.0;0.0;465.0;465.0
run_1_t6;4.99496828799609;0.0;34.96663543348174;0;1966;0.0;13.14999999999418;465.0;465.0
run_1_t4;5.000244581681944;0.0;37.33500801112816;0;9014;0.0;20.0;368.3060000000405;368.3060000000405
run_1_t3;4.999249620641547;0.0;34.22094018764156;0;1194;0.0;10.0;465.0;465.0
run_1_t2;4.999855509800326;0.0;26.902647730719522;0;1258;13.0;18.0;249.0;249.0
run_1_t7;5.000277926004981;0.0;34.87154956114002;0;4954;0.0;20.0;420.8730000000796;420.8730000000796
run_1_t1;4.999816564758199;0.0;36.51767997141142;0;8802;0.0;20.0;300.1010000000242;300.1010000000242
run_1_t5;4.973319917737334;0.0;41.295178446259314;0;6273;0.0;0.0;494.1170000000275;494.1170000000275
run_2_t6;4.999616472772346;0.0;37.13721117295395;0;8645;6.0;17.0;340.0920000000333;340.0920000000333
run_2_t7;4.99783346573265;0.0;32.488127651346254;0;1327;0.0;24.0;439.9800000000396;439.9800000000396
run_2_t1;4.988517027623452;0.0;32.82290340271296;0;5317;0.0;20.0;317.6470000000263;317.6470000000263
run_2_t3;5.000639236917878;0.0;35.68084133641987;0;9616;13.0;18.0;254.0;254.0
run_2_t5;4.996566857396811;0.0;31.966728116143;0;1982;0.0;16.0;396.9910000000091;396.9910000000091
run_2_t4;5.000161190811012;0.0;30.314336940764473;0;909;0.0;17.0;291.0900000000256;291.0900000000256
run_2_t2;4.973854799278753;0.0;38.112052456086545;0;2545;0.0;15.0;474.0;474.0
