timestamp,value,producedElements
1602257690433,10.000000,5000
1602257690939,0.000000,5101
1602257715433,10.000000,10000
1602257715938,0.000000,10101
1602257740433,10.000000,15000
1602257740938,0.000000,15101
1602257765433,10.000000,20000
1602257765938,0.000000,20101
1602257790437,10.000000,25000
1602257790938,0.000000,25101
1602257815433,10.000000,30000
1602257815938,0.000000,30101
1602257840434,10.000000,35000
1602257840940,0.000000,35101
1602257865433,10.000000,40000
1602257865938,0.000000,40101
1602257890434,10.000000,45000
1602257890938,0.000000,45101
1602257915433,10.000000,50000
1602257915938,0.000000,50101
1602257940433,10.000000,55000
1602257940938,0.000000,55101
1602257965433,10.000000,60000
1602257965938,0.000000,60101
1602257990433,10.000000,65000
1602257990938,0.000000,65101
1602258015433,10.000000,70000
1602258015938,0.000000,70101
1602258040434,10.000000,75000
1602258040938,0.000000,75101
1602258065433,10.000000,80000
1602258065938,0.000000,80101
1602258090433,10.000000,85000
1602258090938,0.000000,85101
1602258115433,10.000000,90000
1602258115938,0.000000,90101
1602258140434,10.000000,95000
1602258140939,0.000000,95101
1602258165433,10.000000,100000
1602258165938,0.000000,100101
1602258190433,10.000000,105000
1602258190939,0.000000,105101
