timestamp,value,producedElements
1603900366642,10.000000,5000
1603900367149,0.000000,5101
1603900391641,10.000000,10000
1603900392150,0.000000,10101
1603900416641,10.000000,15000
1603900417147,0.000000,15101
1603900441642,10.000000,20000
1603900442146,0.000000,20101
1603900466642,10.000000,25000
1603900467146,0.000000,25101
1603900491641,10.000000,30000
1603900492146,0.000000,30101
1603900516641,10.000000,35000
1603900517146,0.000000,35101
1603900541641,10.000000,40000
1603900542146,0.000000,40101
1603900566643,10.000000,45000
1603900567146,0.000000,45101
1603900591643,10.000000,50000
1603900592147,0.000000,50101
1603900616641,10.000000,55000
1603900617147,0.000000,55101
1603900641642,10.000000,60000
1603900642146,0.000000,60101
1603900666642,10.000000,65000
1603900667146,0.000000,65101
1603900691641,10.000000,70000
1603900692146,0.000000,70101
1603900716641,10.000000,75000
1603900717146,0.000000,75101
1603900741643,10.000000,80000
1603900742158,0.000000,80101
1603900766641,10.000000,85000
1603900767146,0.000000,85101
1603900791641,10.000000,90000
1603900792146,0.000000,90101
1603900816642,10.000000,95000
1603900817146,0.000000,95101
1603900841651,10.000000,100000
1603900842148,0.000000,100101
1603900866641,10.000000,105000
1603900867147,0.000000,105101
1603900891641,10.000000,110000
1603900892146,0.000000,110101
1603900916641,10.000000,115000
1603900917146,0.000000,115101
1603900941642,10.000000,120000
1603900942146,0.000000,120101
1603900966642,10.000000,125000
1603900967146,0.000000,125101
1603900991642,10.000000,130000
1603900992146,0.000000,130101
1603901016642,10.000000,135000
1603901017150,0.000000,135101
1603901041641,10.000000,140000
1603901042150,0.000000,140101
1603901066642,10.000000,145000
1603901067146,0.000000,145101
1603901091641,10.000000,150000
1603901092146,0.000000,150101
1603901116644,10.000000,155000
1603901117147,0.000000,155101
1603901141642,10.000000,160000
1603901142149,0.000000,160101
1603901166641,10.000000,165000
1603901167147,0.000000,165101
1603901191641,10.000000,170000
1603901192146,0.000000,170101
1603901216641,10.000000,175000
1603901217146,0.000000,175101
1603901241641,10.000000,180000
1603901242146,0.000000,180101
1603901266641,10.000000,185000
1603901267146,0.000000,185101
1603901291642,10.000000,190000
1603901292148,0.000000,190101
1603901316641,10.000000,195000
1603901317146,0.000000,195101
1603901341641,10.000000,200000
1603901342146,0.000000,200101
1603901366641,10.000000,205000
1603901367146,0.000000,205101
1603901391643,10.000000,210000
1603901392149,0.000000,210101
1603901416641,10.000000,215000
1603901417146,0.000000,215101
1603901441646,10.000000,220000
1603901442153,0.000000,220101
1603901466641,10.000000,225000
1603901467146,0.000000,225101
1603901491642,10.000000,230000
1603901492146,0.000000,230101
1603901516642,10.000000,235000
1603901517146,0.000000,235101
1603901541641,10.000000,240000
