name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t7;267.36551417454143;232.0;252.7093422229338;3;4097;506.0;626.0;3279.404000000097;3279.404000000097
run_0_t3;272.3288882712618;204.0;356.77990202112215;1;5553;525.0;694.0;4719.505000000121;4719.505000000121
run_0_t1;235.45550305725402;141.0;529.2384621415051;3;7493;421.0;549.0;6609.505000000121;6609.505000000121
run_0_t6;243.93215675375208;163.0;452.4875776058017;1;5717;433.0;529.0;5265.0;5265.0
run_0_t2;166.0945358532518;117.0;304.87892960795506;1;6019;321.0;416.0;5123.505000000121;5123.505000000121
run_0_t5;207.4788882712618;151.0;261.38126283770396;2;4790;436.0;533.0;3976.505000000121;3976.505000000121
run_0_t4;246.85795441912174;141.0;577.0756997256302;1;7541;441.0;608.0499999999884;7060.101000000024;7060.101000000024
run_1_t1;253.75166759310727;145.0;618.715457201665;1;9634;455.0;626.0;8745.505000000121;8745.505000000121
run_1_t6;221.39068927181768;153.0;276.636211061985;1;4484;466.0;611.0;3593.505000000121;3593.505000000121
run_1_t4;328.0330072262368;238.0;431.23621419025613;1;5873;661.0;886.0499999999884;5373.303000000073;5373.303000000073
run_1_t7;109.71663146192328;64.0;106.0607536269414;1;1375;241.0;296.0;715.4040000000969;715.4040000000969
run_1_t3;182.4275375208449;141.0;181.94414505512256;1;2169;403.0;490.0;1834.3030000000726;1834.3030000000726
run_1_t5;199.38998332406894;160.0;169.84318915530739;1;2156;420.0;498.0;1389.2020000000484;1389.2020000000484
run_1_t2;245.9982657031684;166.0;332.8693319263132;1;5251;516.0;695.0;4357.505000000121;4357.505000000121
run_2_t5;243.72978321289605;177.0;351.53225678589854;2;6162;483.0;641.0;5289.505000000121;5289.505000000121
run_2_t3;248.59714285714287;166.0;448.03877706626963;1;6857;457.0;596.0;5958.505000000121;5958.505000000121
run_2_t1;240.46579766536965;183.0;272.7077393032555;2;4485;497.0;665.0;3631.505000000121;3631.505000000121
run_2_t4;204.27782657031685;138.0;346.1152806002382;1;6195;425.0;544.0;5322.505000000121;5322.505000000121
run_2_t7;208.08863257365203;142.0;350.01128578448305;1;6074;406.0;513.0;5176.505000000121;5176.505000000121
run_2_t6;250.53322401334074;183.0;381.4156002784134;2;6127;466.0;598.0;5329.505000000121;5329.505000000121
run_2_t2;337.5851473040578;223.0;538.3704607631348;1;6637;640.0;932.0;5804.505000000121;5804.505000000121
