name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t7;5.0;5.0;0.7135569178846257;0;59;6.0;6.0;11.0;11.0
run_0_t3;5.0;5.0;0.8689337643679969;0;57;6.0;6.0;13.0;13.0
run_0_t1;5.00000555867459;5.0;1.0009889550454638;0;43;6.0;6.0;13.0;13.0
run_0_t6;5.0;5.0;0.8651448049279344;0;38;6.0;6.0;13.0;13.0
run_0_t2;5.0;5.0;0.9502432413276162;0;58;6.0;6.0;13.0;13.0
run_0_t5;4.999922178555745;5.0;1.107494368764116;0;141;6.0;6.0;14.0;14.0
run_0_t4;5.0;5.0;0.811625708635941;0;42;6.0;6.0;11.0;11.0
run_1_t1;5.00000555867459;5.0;1.0068912465346505;0;39;6.0;6.0;14.0;14.0
run_1_t6;5.0;5.0;0.8544580477123931;0;49;6.0;6.0;12.0;12.0
run_1_t4;5.0;5.0;0.8984168867858267;0;104;6.0;6.0;12.0;12.0
run_1_t7;5.0;5.0;0.9615825750232658;0;108;6.0;6.0;12.0;12.0
run_1_t3;5.0;5.0;0.7875370950073727;0;101;6.0;6.0;11.0;11.0
run_1_t5;4.99999444132541;5.0;0.9941798063861244;0;37;6.0;6.0;13.0;13.0
run_1_t2;5.0;5.0;1.0458129910532599;0;68;6.0;6.0;14.0;14.0
run_2_t5;4.99999444132541;5.0;1.1817784541063872;0;80;6.0;6.0;15.0;15.0
run_2_t3;5.0;5.0;0.9250538368257987;0;53;6.0;6.0;13.0;13.0
run_2_t1;5.0;5.0;0.9766904045430926;0;61;6.0;6.0;13.0;13.0
run_2_t4;5.00000555867459;5.0;1.003866919639773;0;42;6.0;6.0;13.0;13.0
run_2_t7;5.0;5.0;1.0045394717497296;0;92;6.0;6.0;13.0;13.0
run_2_t6;5.0;5.0;0.9048901143786254;0;41;6.0;6.0;13.0;13.0
run_2_t2;5.0;5.0;0.9608365680719327;0;106;6.0;6.0;13.0;13.0
