name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t2;1163.4265080713678;438.0;4002.6889390102365;101.0;24613.0;844.0;1345.0;24596.35;24596.35
run_0_t5;474.13169073916737;459.0;191.49082258844876;113.0;1115.0;737.0;832.5;1098.880000000001;1098.880000000001
run_0_t6;659.7422826394788;429.0;1088.5871597548976;81.0;7096.0;898.0;1067.5;7077.290000000002;7077.290000000002
run_0_t4;440.4446332483716;428.0;193.40316265893836;76.0;1441.0;699.0;757.0;1423.8200000000015;1423.8200000000015
run_0_t1;899.3061455678278;424.0;2593.2466669907394;83.0;16123.0;771.0;975.5;16109.41;16109.41
run_0_t3;448.7386009629;402.0;205.536639151304;110.0;1183.0;745.0;826.5;1162.7000000000025;1162.7000000000025
run_0_t7;65165.94789011611;654.0;100105.89279176565;135.0;318538.0;246338.0;293890.5;318520.35;318520.35
run_1_t6;764.5463041631266;493.0;1507.7283952874866;97.0;9654.0;854.0;990.5;9641.880000000001;9641.880000000001
run_1_t1;536.5092041914472;537.0;185.5101139920258;117.0;1348.0;771.0;837.0;1338.880000000001;1338.880000000001
run_1_t5;624.041914471821;582.0;267.56601378931833;121.0;1587.0;996.0;1078.5;1568.880000000001;1568.880000000001
run_1_t7;62655.583970546584;703.0;98509.97980132581;79.0;316831.0;241581.0;291453.5;316813.35;316813.35
run_1_t3;920.5624468988955;521.0;2237.6531825143907;99.0;14126.0;948.0;1138.0;14108.350000000002;14108.350000000002
run_1_t2;526.1973945058057;498.0;204.613618245368;130.0;1207.0;817.0;922.0;1189.3500000000013;1189.3500000000013
run_1_t4;730.9300481450014;523.0;1222.1433384706995;94.0;7941.0;851.0;1100.5;7923.350000000001;7923.350000000001
run_2_t5;1020.3511753044463;591.0;2546.630414824468;120.0;15917.0;871.0;1001.5;15907.940000000002;15907.940000000002
run_2_t3;495.93288020390827;449.0;247.48944640361773;80.0;1461.0;819.0;1005.5;1444.3500000000013;1444.3500000000013
run_2_t2;596.6015293118097;384.0;1097.95272763139;82.0;7152.0;722.0;814.0;7133.880000000001;7133.880000000001
run_2_t4;509.2002265647125;444.0;273.88921486987897;72.0;1465.0;890.0;1077.0;1447.3500000000013;1447.3500000000013
run_2_t6;370.33559898045877;334.0;192.67070890955387;64.0;1035.0;640.0;768.5;1016.8200000000015;1016.8200000000015
run_2_t7;63939.39875389408;634.0;99881.0386770938;98.0;320456.0;245206.0;295078.5;320437.82;320437.82
run_2_t1;781.7210421976777;495.0;1563.4649207916948;90.0;10026.0;879.0;1043.5;10009.350000000002;10009.350000000002
