name;avg;med;std;minimum;maximum;per90;per95;per99;per99
run_0_t3;396.7476958653429;352.0;235.54899281831203;20.0;2431.0;705.0;840.0;1656.4280000000726;1656.4280000000726
run_0_t4;373.253999577529;336.0;210.02612017370808;17.0;2322.0;634.0;754.0;1612.5350000000908;1612.5350000000908
run_0_t2;2778.760864731453;352.0;9875.960362878664;18.0;64850.0;843.0;21664.100000000035;63962.0;63962.0
run_0_t5;476.1800171211936;370.0;413.96007879645634;18.0;5052.0;918.0;1182.0;4572.535000000091;4572.535000000091
run_0_t1;387.2283956107486;268.0;813.7928129362415;23.0;12132.0;584.0;734.0;11232.53500000009;11232.53500000009
run_0_t7;345.40922432098904;315.0;211.75972421982496;12.0;3088.0;575.0;693.0;2248.2140000000363;2248.2140000000363
run_0_t6;407.9488365370718;364.0;234.5417933320004;17.0;2246.0;712.0;842.0;1665.0;1665.0
run_1_t6;515.5193947546888;376.0;969.7673770520223;24.0;13823.0;749.0;929.0;12922.642000000109;12922.642000000109
run_1_t4;459.06397656397655;338.0;707.6547560215599;18.0;10883.0;750.0;943.0;9990.53500000009;9990.53500000009
run_1_t3;3630.10823160563;368.0;12227.132625689776;10.0;74523.0;1090.0;32073.249999999913;73724.54500000013;73724.54500000013
run_1_t2;378.69354175236526;336.0;228.0345386430055;15.0;1807.0;672.0;803.0;1539.1070000000182;1539.1070000000182
run_1_t7;465.9588924588925;352.0;584.9967035053351;12.0;7607.0;780.0;1009.0;6711.642000000109;6711.642000000109
run_1_t1;621.4159115923821;407.0;1183.0825923362834;21.0;14936.0;950.0;1312.0;14041.53500000009;14041.53500000009
run_1_t5;504.90515525809644;373.0;567.0471917389772;14.0;7429.0;941.0;1185.0;6965.428000000073;6965.428000000073
run_2_t6;407.43535081770375;319.0;614.8109771874018;23.0;9860.0;626.0;754.0;8965.53500000009;8965.53500000009
run_2_t7;339.5784573137514;239.0;859.4789556085635;11.0;12729.0;480.0;561.0;11830.53500000009;11830.53500000009
run_2_t1;413.26575650105065;345.0;384.76790935998;23.0;6384.0;683.0;834.0;5724.535000000091;5724.535000000091
run_2_t3;3796.3793567322978;300.0;12907.282860932837;17.0;77010.0;997.0;34963.75000000003;76110.42800000007;76110.42800000007
run_2_t5;416.5385226855815;362.0;274.036530255941;23.0;3789.0;735.0;893.0;2895.535000000091;2895.535000000091
run_2_t4;235.31148342913048;217.0;152.5592003700165;17.0;1221.0;444.0;507.0;1057.1070000000182;1057.1070000000182
run_2_t2;574.7440881852647;410.0;505.97794414855696;18.0;5619.0;1219.0;1549.0;4724.535000000091;4724.535000000091
