Kafka.Offset,Kafka.Timestamp,Kafka.acktime.local,Producer.Timestamp,ProducedElements
8272,1603136605622,1603136605838,1603136605809,0
8273,1603136605838,1603136605840,1603136605838,1
8274,1603136605838,1603136605840,1603136605839,2
8275,1603136605839,1603136605841,1603136605839,3
8276,1603136605839,1603136605841,1603136605839,4
8277,1603136605839,1603136605842,1603136605839,5
8278,1603136605839,1603136605842,1603136605839,6
8279,1603136605839,1603136605842,1603136605839,7
8280,1603136605839,1603136605842,1603136605839,8
8281,1603136605839,1603136605842,1603136605839,9
8282,1603136605839,1603136605842,1603136605839,10
8283,1603136605839,1603136605842,1603136605839,11
8284,1603136605839,1603136605843,1603136605839,12
8285,1603136605839,1603136605843,1603136605839,13
8286,1603136605839,1603136605843,1603136605839,14
8287,1603136605839,1603136605843,1603136605839,15
8288,1603136605839,1603136605843,1603136605839,16
8289,1603136605840,1603136605843,1603136605840,17
8290,1603136605840,1603136605843,1603136605840,18
8291,1603136605840,1603136605844,1603136605840,19
8292,1603136605840,1603136605844,1603136605840,20
8293,1603136605840,1603136605844,1603136605840,21
8294,1603136605840,1603136605844,1603136605840,22
8295,1603136605840,1603136605844,1603136605840,23
8296,1603136605840,1603136605844,1603136605840,24
8297,1603136605840,1603136605844,1603136605840,25
8298,1603136605840,1603136605844,1603136605840,26
8299,1603136605840,1603136605844,1603136605840,27
8300,1603136605840,1603136605844,1603136605840,28
8301,1603136605840,1603136605844,1603136605840,29
8302,1603136605840,1603136605845,1603136605840,30
8303,1603136605840,1603136605845,1603136605840,31
8304,1603136605840,1603136605845,1603136605840,32
8305,1603136605840,1603136605845,1603136605841,33
8306,1603136605841,1603136605845,1603136605841,34
8307,1603136605841,1603136605845,1603136605841,35
8308,1603136605841,1603136605846,1603136605841,36
8309,1603136605841,1603136605846,1603136605841,37
8310,1603136605841,1603136605846,1603136605841,38
8311,1603136605841,1603136605846,1603136605841,39
8312,1603136605841,1603136605846,1603136605841,40
8313,1603136605841,1603136605846,1603136605841,41
8314,1603136605841,1603136605846,1603136605841,42
8315,1603136605841,1603136605846,1603136605841,43
8316,1603136605841,1603136605847,1603136605841,44
8317,1603136605841,1603136605847,1603136605841,45
8318,1603136605841,1603136605848,1603136605841,46
8319,1603136605841,1603136605848,1603136605841,47
8320,1603136605841,1603136605848,1603136605841,48
8321,1603136605841,1603136605848,1603136605841,49
8322,1603136605841,1603136605848,1603136605841,50
8323,1603136605841,1603136605848,1603136605842,51
8324,1603136605842,1603136605849,1603136605842,52
8325,1603136605842,1603136605849,1603136605842,53
8326,1603136605842,1603136605849,1603136605842,54
8327,1603136605842,1603136605849,1603136605842,55
8328,1603136605842,1603136605849,1603136605842,56
8329,1603136605842,1603136605849,1603136605842,57
8330,1603136605842,1603136605850,1603136605842,58
8331,1603136605842,1603136605850,1603136605842,59
8332,1603136605842,1603136605850,1603136605842,60
8333,1603136605842,1603136605850,1603136605842,61
8334,1603136605842,1603136605850,1603136605842,62
8335,1603136605842,1603136605851,1603136605842,63
8336,1603136605842,1603136605851,1603136605842,64
8337,1603136605842,1603136605851,1603136605842,65
8338,1603136605842,1603136605851,1603136605843,66
8339,1603136605843,1603136605851,1603136605843,67
8340,1603136605843,1603136605851,1603136605843,68
8341,1603136605843,1603136605851,1603136605843,69
8342,1603136605843,1603136605851,1603136605843,70
8343,1603136605843,1603136605851,1603136605843,71
8344,1603136605843,1603136605852,1603136605843,72
8345,1603136605843,1603136605852,1603136605843,73
8346,1603136605843,1603136605852,1603136605843,74
8347,1603136605843,1603136605852,1603136605843,75
8348,1603136605843,1603136605852,1603136605843,76
8349,1603136605843,1603136605852,1603136605843,77
8350,1603136605843,1603136605852,1603136605843,78
8351,1603136605843,1603136605852,1603136605843,79
8352,1603136605843,1603136605852,1603136605844,80
8353,1603136605847,1603136605852,1603136605847,81
8354,1603136605853,1603136605855,1603136605853,82
8355,1603136605858,1603136605859,1603136605858,83
8356,1603136605863,1603136605864,1603136605863,84
8357,1603136605868,1603136605869,1603136605868,85
8358,1603136605873,1603136605875,1603136605873,86
8359,1603136605878,1603136605880,1603136605878,87
8360,1603136605883,1603136605884,1603136605883,88
8361,1603136605887,1603136605888,1603136605887,89
8362,1603136605893,1603136605894,1603136605893,90
