from;to;delay;rate;loss;corrupt
server1;w1;0;1000;0;0
server2;w1;0;1000;0;0
server3;w1;0;1000;0;0
server4;w1;0;1000;0;0
server7;w1;30;1000;0;0
server8;w1;0;1000;0;0
server9;w1;0;1000;0;0
server5;w2;0;1000;0;0
server6;w2;0;1000;0;0
server10;w2;0;1000;0;0
w1;w2;0;1000;0;0
